P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.000849162   ErrorVisual_R:1.49287e-06   ErrorDirecto_T:487.2   ErrorDirecto_R: 0.0872247   END: 16   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.000575198   ErrorVisual_R:0.000906194   ErrorDirecto_T:0.000137883   ErrorDirecto_R: 1.02089e-08   END: 8   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:0.000577621   ErrorVisual_R:0.000934848   ErrorDirecto_T:0.000379221   ErrorDirecto_R: 6.12319e-05   END: 9   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:4.53996   ErrorVisual_R:0.0026811   ErrorDirecto_T:0.0124522   ErrorDirecto_R: 1.24186e-06   END: 19   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:4.78504   ErrorVisual_R:0.0019017   ErrorDirecto_T:0.000377748   ErrorDirecto_R: 5.77568e-08   END: 23   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:4.94281   ErrorVisual_R:0.0047165   ErrorDirecto_T:0.00018693   ErrorDirecto_R: 2.01097e-08   END: 19   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:4.60159   ErrorVisual_R:0.0026468   ErrorDirecto_T:0.000104735   ErrorDirecto_R: 2.18381e-08   END: 19   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:4.81572   ErrorVisual_R:0.00278398   ErrorDirecto_T:0.0155378   ErrorDirecto_R: 6.98558e-06   END: 23   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:4.54032   ErrorVisual_R:0.00251004   ErrorDirecto_T:0.000197925   ErrorDirecto_R: 1.89827e-08   END: 19   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:4.46166   ErrorVisual_R:0.00150746   ErrorDirecto_T:0.000725635   ErrorDirecto_R: 1.37294e-07   END: 20   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:4.67147   ErrorVisual_R:0.00187551   ErrorDirecto_T:0.000112676   ErrorDirecto_R: 1.8783e-08   END: 23   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:4.35678   ErrorVisual_R:0.00261802   ErrorDirecto_T:0.000343629   ErrorDirecto_R: 5.61158e-08   END: 23   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:4.55163   ErrorVisual_R:0.00274815   ErrorDirecto_T:0.000452147   ErrorDirecto_R: 6.32719e-08   END: 23   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:4.46049   ErrorVisual_R:0.00131949   ErrorDirecto_T:0.000657305   ErrorDirecto_R: 9.71672e-08   END: 23   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:4.64227   ErrorVisual_R:0.0014437   ErrorDirecto_T:0.000529554   ErrorDirecto_R: 5.58533e-08   END: 23   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:4.52627   ErrorVisual_R:0.00137589   ErrorDirecto_T:0.000165035   ErrorDirecto_R: 2.97563e-08   END: 19   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:4.52711   ErrorVisual_R:0.0017367   ErrorDirecto_T:0.000606267   ErrorDirecto_R: 7.27934e-08   END: 19   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:4.66455   ErrorVisual_R:0.00147246   ErrorDirecto_T:0.0012056   ErrorDirecto_R: 2.18355e-07   END: 23   WHY?: LOW_ERROR
P: (176 841 374 0 0 3.1416)   ErrorVisual_T:4.4757   ErrorVisual_R:0.00208258   ErrorDirecto_T:0.000731608   ErrorDirecto_R: 1.07771e-07   END: 23   WHY?: LOW_ERROR
P: (264 816 392 0 0 3.1416)   ErrorVisual_T:4.61177   ErrorVisual_R:0.00194761   ErrorDirecto_T:0.000348185   ErrorDirecto_R: 5.48849e-08   END: 23   WHY?: LOW_ERROR
P: (191 806 376 0 0 3.1416)   ErrorVisual_T:4.45847   ErrorVisual_R:0.00265973   ErrorDirecto_T:0.0144047   ErrorDirecto_R: 5.26608e-06   END: 23   WHY?: LOW_ERROR
P: (178 804 396 0 0 3.1416)   ErrorVisual_T:4.61337   ErrorVisual_R:0.00252218   ErrorDirecto_T:0.0151477   ErrorDirecto_R: 7.10017e-06   END: 19   WHY?: LOW_ERROR
P: (146 801 373 0 0 3.1416)   ErrorVisual_T:4.62803   ErrorVisual_R:0.00243042   ErrorDirecto_T:0.000201038   ErrorDirecto_R: 5.78792e-08   END: 23   WHY?: LOW_ERROR
P: (182 783 385 0 0 3.1416)   ErrorVisual_T:4.40301   ErrorVisual_R:0.00391542   ErrorDirecto_T:0.0088882   ErrorDirecto_R: 2.88786e-06   END: 23   WHY?: LOW_ERROR
P: (163 840 396 0 0 3.1416)   ErrorVisual_T:4.63668   ErrorVisual_R:0.0026815   ErrorDirecto_T:0.000717633   ErrorDirecto_R: 1.17e-07   END: 23   WHY?: LOW_ERROR
P: (248 808 380 0 0 3.1416)   ErrorVisual_T:4.99411   ErrorVisual_R:0.00384686   ErrorDirecto_T:0.000206073   ErrorDirecto_R: 2.96359e-08   END: 19   WHY?: LOW_ERROR
P: (288 788 389 0 0 3.1416)   ErrorVisual_T:4.40851   ErrorVisual_R:0.00155883   ErrorDirecto_T:0.000307041   ErrorDirecto_R: 6.15326e-08   END: 23   WHY?: LOW_ERROR
P: (255 847 370 0 0 3.1416)   ErrorVisual_T:4.60789   ErrorVisual_R:0.00108712   ErrorDirecto_T:0.00102474   ErrorDirecto_R: 1.68203e-07   END: 23   WHY?: LOW_ERROR
P: (174 814 370 0 0 3.1416)   ErrorVisual_T:4.63222   ErrorVisual_R:0.000724311   ErrorDirecto_T:0.000254442   ErrorDirecto_R: 3.54294e-08   END: 23   WHY?: LOW_ERROR
P: (192 795 376 0 0 3.1416)   ErrorVisual_T:4.50518   ErrorVisual_R:0.00229041   ErrorDirecto_T:0.00948388   ErrorDirecto_R: 2.87747e-06   END: 20   WHY?: LOW_ERROR
P: (209 807 380 0 0 3.1416)   ErrorVisual_T:4.35625   ErrorVisual_R:0.00271025   ErrorDirecto_T:0.0135844   ErrorDirecto_R: 1.42675e-06   END: 24   WHY?: LOW_ERROR
P: (169 815 371 0 0 3.1416)   ErrorVisual_T:4.5682   ErrorVisual_R:0.00272509   ErrorDirecto_T:0.00025321   ErrorDirecto_R: 4.30621e-08   END: 23   WHY?: LOW_ERROR
P: (290 843 370 0 0 3.1416)   ErrorVisual_T:4.39   ErrorVisual_R:0.000759329   ErrorDirecto_T:0.00176074   ErrorDirecto_R: 3.14765e-07   END: 20   WHY?: LOW_ERROR
P: (266 795 372 0 0 3.1416)   ErrorVisual_T:4.54704   ErrorVisual_R:0.00121493   ErrorDirecto_T:9.49454e-05   ErrorDirecto_R: 2.63527e-08   END: 23   WHY?: LOW_ERROR
P: (286 850 383 0 0 3.1416)   ErrorVisual_T:4.66326   ErrorVisual_R:0.00189024   ErrorDirecto_T:0.00168293   ErrorDirecto_R: 3.06545e-07   END: 23   WHY?: LOW_ERROR
P: (212 809 378 0 0 3.1416)   ErrorVisual_T:4.59561   ErrorVisual_R:0.00201216   ErrorDirecto_T:0.014993   ErrorDirecto_R: 1.50122e-06   END: 23   WHY?: LOW_ERROR
P: (181 784 370 0 0 3.1416)   ErrorVisual_T:4.43067   ErrorVisual_R:0.00335614   ErrorDirecto_T:0.0108853   ErrorDirecto_R: 3.853e-06   END: 23   WHY?: LOW_ERROR
P: (177 848 378 0 0 3.1416)   ErrorVisual_T:4.55979   ErrorVisual_R:0.00237764   ErrorDirecto_T:0.000832434   ErrorDirecto_R: 1.38433e-07   END: 23   WHY?: LOW_ERROR
P: (141 824 395 0 0 3.1416)   ErrorVisual_T:4.5513   ErrorVisual_R:0.00284214   ErrorDirecto_T:0.000201189   ErrorDirecto_R: 5.74121e-08   END: 19   WHY?: LOW_ERROR
P: (294 817 387 0 0 3.1416)   ErrorVisual_T:4.34446   ErrorVisual_R:0.00351465   ErrorDirecto_T:0.000570462   ErrorDirecto_R: 1.12134e-07   END: 23   WHY?: LOW_ERROR
P: (179 801 382 0 0 3.1416)   ErrorVisual_T:4.61171   ErrorVisual_R:0.00256235   ErrorDirecto_T:0.0155018   ErrorDirecto_R: 7.16003e-06   END: 23   WHY?: LOW_ERROR
P: (293 830 374 0 0 3.1416)   ErrorVisual_T:4.8833   ErrorVisual_R:0.00249242   ErrorDirecto_T:0.00113955   ErrorDirecto_R: 2.27805e-07   END: 24   WHY?: LOW_ERROR
P: (146 818 397 0 0 3.1416)   ErrorVisual_T:4.54754   ErrorVisual_R:0.00289378   ErrorDirecto_T:0.000172731   ErrorDirecto_R: 4.57221e-08   END: 23   WHY?: LOW_ERROR
