P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.000574185   ErrorVisual_R:0.000834551   ErrorDirecto_T:487.703   ErrorDirecto_R: 0.0977094   END: 17   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.000556894   ErrorVisual_R:0.0009145   ErrorDirecto_T:6.8978e-05   ErrorDirecto_R: 3.00897e-08   END: 9   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:0.000575198   ErrorVisual_R:0.000926382   ErrorDirecto_T:0.000331699   ErrorDirecto_R: 5.63048e-05   END: 9   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:0.000441187   ErrorVisual_R:4.82075e-07   ErrorDirecto_T:0.00125702   ErrorDirecto_R: 1.21882e-07   END: 9   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:0.000286687   ErrorVisual_R:4.42078e-07   ErrorDirecto_T:0.000836118   ErrorDirecto_R: 1.6757e-07   END: 9   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:0.000580637   ErrorVisual_R:5.61505e-07   ErrorDirecto_T:0.000348795   ErrorDirecto_R: 2.57915e-08   END: 9   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:0.000632274   ErrorVisual_R:0.00103137   ErrorDirecto_T:0.00107663   ErrorDirecto_R: 0.000161145   END: 9   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:4.05757   ErrorVisual_R:0.0033555   ErrorDirecto_T:0.0113316   ErrorDirecto_R: 3.71356e-06   END: 28   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:3.98676   ErrorVisual_R:0.00189679   ErrorDirecto_T:0.0133531   ErrorDirecto_R: 2.25415e-06   END: 28   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:3.48473   ErrorVisual_R:0.000712589   ErrorDirecto_T:0.000698111   ErrorDirecto_R: 1.25984e-07   END: 28   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:2.62119   ErrorVisual_R:0.00327924   ErrorDirecto_T:0.000101397   ErrorDirecto_R: 1.76964e-08   END: 28   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:1.4505   ErrorVisual_R:0.00136136   ErrorDirecto_T:0.000211576   ErrorDirecto_R: 1.95574e-08   END: 32   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:1.61601   ErrorVisual_R:0.00129088   ErrorDirecto_T:0.000293809   ErrorDirecto_R: 3.18881e-08   END: 32   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:1.34117   ErrorVisual_R:0.00120554   ErrorDirecto_T:0.000604136   ErrorDirecto_R: 8.7383e-08   END: 28   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:4.81952   ErrorVisual_R:0.00258321   ErrorDirecto_T:0.000367425   ErrorDirecto_R: 3.96749e-08   END: 28   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:1.3088   ErrorVisual_R:0.00185214   ErrorDirecto_T:0.0137559   ErrorDirecto_R: 4.97655e-06   END: 28   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:1.43014   ErrorVisual_R:0.00148953   ErrorDirecto_T:0.000404817   ErrorDirecto_R: 6.93941e-08   END: 28   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:3.09808   ErrorVisual_R:0.00104636   ErrorDirecto_T:0.00118366   ErrorDirecto_R: 1.92334e-07   END: 28   WHY?: LOW_ERROR
P: (176 841 374 0 0 3.1416)   ErrorVisual_T:1.11652   ErrorVisual_R:0.00258289   ErrorDirecto_T:0.000364407   ErrorDirecto_R: 6.24288e-08   END: 28   WHY?: LOW_ERROR
P: (264 816 392 0 0 3.1416)   ErrorVisual_T:1.48304   ErrorVisual_R:0.00171499   ErrorDirecto_T:0.000247721   ErrorDirecto_R: 4.48218e-08   END: 32   WHY?: LOW_ERROR
