P: (209 807 380 0 0 3.1416)   ErrorVisual_T:2.66638   ErrorVisual_R:0.00187028   ErrorDirecto_T:0.000824244   ErrorDirecto_R: 8.29581e-08   END: 20   WHY?: LOW_ERROR
P: (169 815 371 0 0 3.1416)   ErrorVisual_T:3.65677   ErrorVisual_R:0.00457504   ErrorDirecto_T:0.00797514   ErrorDirecto_R: 1.46337e-06   END: 23   WHY?: LOW_ERROR
P: (290 843 370 0 0 3.1416)   ErrorVisual_T:2.99483   ErrorVisual_R:0.00135475   ErrorDirecto_T:0.00189559   ErrorDirecto_R: 2.42025e-07   END: 23   WHY?: LOW_ERROR
P: (266 795 372 0 0 3.1416)   ErrorVisual_T:3.85575   ErrorVisual_R:0.00676675   ErrorDirecto_T:0.00248953   ErrorDirecto_R: 2.93406e-07   END: 23   WHY?: LOW_ERROR
P: (286 850 383 0 0 3.1416)   ErrorVisual_T:2.62844   ErrorVisual_R:0.00134691   ErrorDirecto_T:0.00218707   ErrorDirecto_R: 2.44048e-07   END: 23   WHY?: LOW_ERROR
P: (212 809 378 0 0 3.1416)   ErrorVisual_T:2.84436   ErrorVisual_R:0.00172676   ErrorDirecto_T:0.00090089   ErrorDirecto_R: 8.39002e-08   END: 23   WHY?: LOW_ERROR
P: (181 784 370 0 0 3.1416)   ErrorVisual_T:3.8553   ErrorVisual_R:0.00158451   ErrorDirecto_T:0.000375002   ErrorDirecto_R: 2.31831e-08   END: 23   WHY?: LOW_ERROR
P: (177 848 378 0 0 3.1416)   ErrorVisual_T:2.65118   ErrorVisual_R:0.00195302   ErrorDirecto_T:0.0112419   ErrorDirecto_R: 2.62196e-06   END: 20   WHY?: LOW_ERROR
P: (141 824 395 0 0 3.1416)   ErrorVisual_T:3.59783   ErrorVisual_R:0.00326296   ErrorDirecto_T:0.000395057   ErrorDirecto_R: 8.29386e-08   END: 23   WHY?: LOW_ERROR
P: (294 817 387 0 0 3.1416)   ErrorVisual_T:4.93579   ErrorVisual_R:0.000992745   ErrorDirecto_T:0.00396944   ErrorDirecto_R: 4.08129e-07   END: 20   WHY?: LOW_ERROR
P: (179 801 382 0 0 3.1416)   ErrorVisual_T:2.55695   ErrorVisual_R:0.00313526   ErrorDirecto_T:0.00540691   ErrorDirecto_R: 2.5125e-06   END: 23   WHY?: LOW_ERROR
P: (293 830 374 0 0 3.1416)   ErrorVisual_T:4.56915   ErrorVisual_R:0.00160907   ErrorDirecto_T:0.00295122   ErrorDirecto_R: 3.4739e-07   END: 23   WHY?: LOW_ERROR
P: (146 818 397 0 0 3.1416)   ErrorVisual_T:3.7536   ErrorVisual_R:0.0030221   ErrorDirecto_T:0.00280829   ErrorDirecto_R: 2.17137e-07   END: 23   WHY?: LOW_ERROR
P: (143 784 386 0 0 3.1416)   ErrorVisual_T:3.39603   ErrorVisual_R:0.00229164   ErrorDirecto_T:0.00252565   ErrorDirecto_R: 1.77411e-07   END: 23   WHY?: LOW_ERROR
P: (167 820 380 0 0 3.1416)   ErrorVisual_T:3.859   ErrorVisual_R:0.00344744   ErrorDirecto_T:0.00744552   ErrorDirecto_R: 1.31388e-06   END: 23   WHY?: LOW_ERROR
P: (220 829 370 0 0 3.1416)   ErrorVisual_T:2.83236   ErrorVisual_R:0.00161328   ErrorDirecto_T:0.000886907   ErrorDirecto_R: 9.96575e-08   END: 23   WHY?: LOW_ERROR
P: (237 830 398 0 0 3.1416)   ErrorVisual_T:1.97551   ErrorVisual_R:0.00540386   ErrorDirecto_T:0.0017546   ErrorDirecto_R: 1.61517e-07   END: 23   WHY?: LOW_ERROR
P: (144 829 381 0 0 3.1416)   ErrorVisual_T:3.16059   ErrorVisual_R:0.00311701   ErrorDirecto_T:0.00299793   ErrorDirecto_R: 4.51936e-07   END: 23   WHY?: LOW_ERROR
P: (238 846 395 0 0 3.1416)   ErrorVisual_T:2.3409   ErrorVisual_R:0.00316456   ErrorDirecto_T:0.00153833   ErrorDirecto_R: 1.45531e-07   END: 23   WHY?: LOW_ERROR
P: (159 789 390 0 0 3.1416)   ErrorVisual_T:3.33894   ErrorVisual_R:0.00213614   ErrorDirecto_T:0.00177319   ErrorDirecto_R: 1.04747e-07   END: 23   WHY?: LOW_ERROR
P: (200 792 378 0 0 3.1416)   ErrorVisual_T:3.26847   ErrorVisual_R:0.00670252   ErrorDirecto_T:0.0108183   ErrorDirecto_R: 6.11993e-06   END: 23   WHY?: LOW_ERROR
P: (241 839 382 0 0 3.1416)   ErrorVisual_T:2.12905   ErrorVisual_R:0.00237412   ErrorDirecto_T:0.00132306   ErrorDirecto_R: 1.35803e-07   END: 23   WHY?: LOW_ERROR
P: (201 849 392 0 0 3.1416)   ErrorVisual_T:2.35164   ErrorVisual_R:0.00177902   ErrorDirecto_T:0.000655977   ErrorDirecto_R: 5.87845e-08   END: 23   WHY?: LOW_ERROR
P: (187 826 385 0 0 3.1416)   ErrorVisual_T:3.18303   ErrorVisual_R:0.00183946   ErrorDirecto_T:0.000532279   ErrorDirecto_R: 5.24994e-08   END: 23   WHY?: LOW_ERROR
P: (206 817 383 0 0 3.1416)   ErrorVisual_T:2.71737   ErrorVisual_R:0.00184072   ErrorDirecto_T:0.000809783   ErrorDirecto_R: 8.4533e-08   END: 23   WHY?: LOW_ERROR
P: (263 811 373 0 0 3.1416)   ErrorVisual_T:2.14302   ErrorVisual_R:0.00656121   ErrorDirecto_T:0.00216635   ErrorDirecto_R: 2.3184e-07   END: 20   WHY?: LOW_ERROR
P: (297 824 393 0 0 3.1416)   ErrorVisual_T:2.64742   ErrorVisual_R:0.00559513   ErrorDirecto_T:0.00500636   ErrorDirecto_R: 4.40749e-07   END: 25   WHY?: LOW_ERROR
P: (285 797 381 0 0 3.1416)   ErrorVisual_T:3.97955   ErrorVisual_R:0.00657679   ErrorDirecto_T:0.00326599   ErrorDirecto_R: 3.54281e-07   END: 25   WHY?: LOW_ERROR
P: (246 826 391 0 0 3.1416)   ErrorVisual_T:3.12025   ErrorVisual_R:0.00230567   ErrorDirecto_T:0.00185521   ErrorDirecto_R: 1.7748e-07   END: 20   WHY?: LOW_ERROR
P: (232 798 373 0 0 3.1416)   ErrorVisual_T:3.85745   ErrorVisual_R:0.00215578   ErrorDirecto_T:0.00134816   ErrorDirecto_R: 1.33577e-07   END: 23   WHY?: LOW_ERROR
P: (276 801 391 0 0 3.1416)   ErrorVisual_T:4.02853   ErrorVisual_R:0.00426583   ErrorDirecto_T:0.00298506   ErrorDirecto_R: 3.08026e-07   END: 20   WHY?: LOW_ERROR
P: (145 849 370 0 0 3.1416)   ErrorVisual_T:2.81566   ErrorVisual_R:0.00224147   ErrorDirecto_T:0.00266089   ErrorDirecto_R: 7.36873e-07   END: 20   WHY?: LOW_ERROR
P: (163 847 380 0 0 3.1416)   ErrorVisual_T:2.54604   ErrorVisual_R:0.00457864   ErrorDirecto_T:0.0076163   ErrorDirecto_R: 1.69475e-06   END: 23   WHY?: LOW_ERROR
P: (160 801 394 0 0 3.1416)   ErrorVisual_T:3.41545   ErrorVisual_R:0.00255576   ErrorDirecto_T:0.000837828   ErrorDirecto_R: 4.35308e-08   END: 23   WHY?: LOW_ERROR
P: (226 824 385 0 0 3.1416)   ErrorVisual_T:2.89869   ErrorVisual_R:0.0020256   ErrorDirecto_T:0.00121574   ErrorDirecto_R: 1.1813e-07   END: 23   WHY?: LOW_ERROR
P: (260 806 380 0 0 3.1416)   ErrorVisual_T:2.6197   ErrorVisual_R:0.00463454   ErrorDirecto_T:0.00249297   ErrorDirecto_R: 2.55136e-07   END: 23   WHY?: LOW_ERROR
P: (152 780 383 0 0 3.1416)   ErrorVisual_T:3.8638   ErrorVisual_R:0.00279615   ErrorDirecto_T:0.00274914   ErrorDirecto_R: 1.68676e-07   END: 23   WHY?: LOW_ERROR
P: (189 801 386 0 0 3.1416)   ErrorVisual_T:2.69935   ErrorVisual_R:0.00176667   ErrorDirecto_T:0.00697586   ErrorDirecto_R: 3.50777e-06   END: 23   WHY?: LOW_ERROR
P: (202 840 376 0 0 3.1416)   ErrorVisual_T:3.08392   ErrorVisual_R:0.00253462   ErrorDirecto_T:0.000607236   ErrorDirecto_R: 6.60478e-08   END: 23   WHY?: LOW_ERROR
P: (253 818 374 0 0 3.1416)   ErrorVisual_T:3.22196   ErrorVisual_R:0.00176845   ErrorDirecto_T:0.00190781   ErrorDirecto_R: 2.08117e-07   END: 23   WHY?: LOW_ERROR
