P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.000546767   ErrorVisual_R:1.21991e-06   ErrorDirecto_T:481.427   ErrorDirecto_R: 0.0926238   END: 15   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.000202431   ErrorVisual_R:0.000303162   ErrorDirecto_T:0.00653148   ErrorDirecto_R: 4.60355e-07   END: 8   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:0.000266483   ErrorVisual_R:0.000422677   ErrorDirecto_T:0.000179839   ErrorDirecto_R: 4.32756e-08   END: 8   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:4.37781   ErrorVisual_R:0.00102675   ErrorDirecto_T:0.000148545   ErrorDirecto_R: 1.48472e-08   END: 29   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:4.61651   ErrorVisual_R:0.00138656   ErrorDirecto_T:0.00106691   ErrorDirecto_R: 2.36124e-07   END: 29   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:4.74955   ErrorVisual_R:0.00150508   ErrorDirecto_T:0.000351914   ErrorDirecto_R: 4.95909e-08   END: 29   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:4.87803   ErrorVisual_R:0.00267922   ErrorDirecto_T:9.15024e-05   ErrorDirecto_R: 1.87417e-08   END: 29   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:4.93625   ErrorVisual_R:0.00166588   ErrorDirecto_T:0.0207646   ErrorDirecto_R: 5.10878e-06   END: 25   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:4.53558   ErrorVisual_R:0.00390117   ErrorDirecto_T:0.000134007   ErrorDirecto_R: 1.12009e-08   END: 29   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:4.5125   ErrorVisual_R:0.000775478   ErrorDirecto_T:0.00221447   ErrorDirecto_R: 4.58098e-07   END: 29   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:4.34353   ErrorVisual_R:0.00129047   ErrorDirecto_T:0.000457216   ErrorDirecto_R: 9.85585e-08   END: 25   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:4.70453   ErrorVisual_R:0.00210286   ErrorDirecto_T:0.000200173   ErrorDirecto_R: 2.54889e-08   END: 29   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:4.64498   ErrorVisual_R:0.00226743   ErrorDirecto_T:0.000233122   ErrorDirecto_R: 3.19287e-08   END: 29   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:4.52749   ErrorVisual_R:0.00082919   ErrorDirecto_T:0.00151639   ErrorDirecto_R: 2.86672e-07   END: 25   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:4.68285   ErrorVisual_R:0.000878723   ErrorDirecto_T:0.000748294   ErrorDirecto_R: 1.35677e-07   END: 29   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:4.83251   ErrorVisual_R:0.00198222   ErrorDirecto_T:9.95318e-05   ErrorDirecto_R: 1.57379e-08   END: 29   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:4.55014   ErrorVisual_R:0.000706447   ErrorDirecto_T:0.000976357   ErrorDirecto_R: 1.67165e-07   END: 29   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:4.58581   ErrorVisual_R:0.00227391   ErrorDirecto_T:0.00321432   ErrorDirecto_R: 6.34972e-07   END: 29   WHY?: LOW_ERROR
P: (176 841 374 0 0 3.1416)   ErrorVisual_T:4.54693   ErrorVisual_R:0.00178325   ErrorDirecto_T:0.000340311   ErrorDirecto_R: 3.11852e-08   END: 29   WHY?: LOW_ERROR
P: (264 816 392 0 0 3.1416)   ErrorVisual_T:4.84691   ErrorVisual_R:0.00115073   ErrorDirecto_T:0.00111037   ErrorDirecto_R: 2.41682e-07   END: 25   WHY?: LOW_ERROR
P: (191 806 376 0 0 3.1416)   ErrorVisual_T:4.77932   ErrorVisual_R:0.00311922   ErrorDirecto_T:0.000120374   ErrorDirecto_R: 1.19301e-08   END: 29   WHY?: LOW_ERROR
P: (178 804 396 0 0 3.1416)   ErrorVisual_T:4.65256   ErrorVisual_R:0.00121134   ErrorDirecto_T:0.000126337   ErrorDirecto_R: 1.15116e-08   END: 29   WHY?: LOW_ERROR
P: (146 801 373 0 0 3.1416)   ErrorVisual_T:4.82064   ErrorVisual_R:0.00322575   ErrorDirecto_T:0.000294039   ErrorDirecto_R: 7.37941e-08   END: 25   WHY?: LOW_ERROR
P: (182 783 385 0 0 3.1416)   ErrorVisual_T:4.9178   ErrorVisual_R:0.00184343   ErrorDirecto_T:0.0116665   ErrorDirecto_R: 2.10301e-06   END: 29   WHY?: LOW_ERROR
P: (163 840 396 0 0 3.1416)   ErrorVisual_T:4.40122   ErrorVisual_R:0.00180287   ErrorDirecto_T:0.000521449   ErrorDirecto_R: 7.59621e-08   END: 28   WHY?: LOW_ERROR
P: (248 808 380 0 0 3.1416)   ErrorVisual_T:4.8167   ErrorVisual_R:0.000638747   ErrorDirecto_T:0.000531307   ErrorDirecto_R: 1.25931e-07   END: 29   WHY?: LOW_ERROR
P: (288 788 389 0 0 3.1416)   ErrorVisual_T:4.66185   ErrorVisual_R:0.00262921   ErrorDirecto_T:0.000517734   ErrorDirecto_R: 1.36479e-07   END: 29   WHY?: LOW_ERROR
P: (255 847 370 0 0 3.1416)   ErrorVisual_T:4.47081   ErrorVisual_R:0.000146525   ErrorDirecto_T:0.0021734   ErrorDirecto_R: 4.02904e-07   END: 25   WHY?: LOW_ERROR
P: (174 814 370 0 0 3.1416)   ErrorVisual_T:4.82896   ErrorVisual_R:0.00224372   ErrorDirecto_T:0.000132692   ErrorDirecto_R: 1.71758e-08   END: 25   WHY?: LOW_ERROR
P: (192 795 376 0 0 3.1416)   ErrorVisual_T:4.92636   ErrorVisual_R:0.00130468   ErrorDirecto_T:0.0151754   ErrorDirecto_R: 2.39092e-06   END: 29   WHY?: LOW_ERROR
P: (209 807 380 0 0 3.1416)   ErrorVisual_T:4.77544   ErrorVisual_R:0.00155205   ErrorDirecto_T:0.000140012   ErrorDirecto_R: 1.48467e-08   END: 29   WHY?: LOW_ERROR
P: (169 815 371 0 0 3.1416)   ErrorVisual_T:4.85589   ErrorVisual_R:0.00213765   ErrorDirecto_T:0.000233428   ErrorDirecto_R: 2.74737e-08   END: 29   WHY?: LOW_ERROR
P: (290 843 370 0 0 3.1416)   ErrorVisual_T:4.6341   ErrorVisual_R:0.00143465   ErrorDirecto_T:0.00427427   ErrorDirecto_R: 8.27145e-07   END: 29   WHY?: LOW_ERROR
P: (266 795 372 0 0 3.1416)   ErrorVisual_T:4.76221   ErrorVisual_R:0.00169077   ErrorDirecto_T:0.000548898   ErrorDirecto_R: 1.25368e-07   END: 29   WHY?: LOW_ERROR
