P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.00143335   ErrorVisual_R:2.34543e-06   ErrorDirecto_T:474.113   ErrorDirecto_R: 0.0843938   END: 17   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.000416484   ErrorVisual_R:0.000679545   ErrorDirecto_T:8.02077e-05   ErrorDirecto_R: 2.12242e-08   END: 9   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:0.000523267   ErrorVisual_R:0.000826554   ErrorDirecto_T:0.000483928   ErrorDirecto_R: 7.25292e-05   END: 9   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:0.000880923   ErrorVisual_R:9.10808e-07   ErrorDirecto_T:0.000428505   ErrorDirecto_R: 4.54839e-08   END: 9   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:0.000555428   ErrorVisual_R:8.20883e-07   ErrorDirecto_T:0.00101229   ErrorDirecto_R: 1.97895e-07   END: 9   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:0.00063301   ErrorVisual_R:6.60807e-07   ErrorDirecto_T:0.0003565   ErrorDirecto_R: 3.66109e-08   END: 10   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:2.07568   ErrorVisual_R:0.00348112   ErrorDirecto_T:0.00023355   ErrorDirecto_R: 5.27498e-08   END: 35   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:1.81413   ErrorVisual_R:0.00142791   ErrorDirecto_T:0.000106987   ErrorDirecto_R: 3.44327e-08   END: 31   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:4.98493   ErrorVisual_R:0.00243118   ErrorDirecto_T:0.000307223   ErrorDirecto_R: 4.47647e-08   END: 28   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:4.65   ErrorVisual_R:0.00173435   ErrorDirecto_T:0.000596241   ErrorDirecto_R: 9.99934e-08   END: 29   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:2.63183   ErrorVisual_R:0.00247434   ErrorDirecto_T:0.0142265   ErrorDirecto_R: 3.6199e-06   END: 32   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:1.92675   ErrorVisual_R:0.00243841   ErrorDirecto_T:0.000458628   ErrorDirecto_R: 8.33243e-08   END: 33   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:1.72405   ErrorVisual_R:0.00425932   ErrorDirecto_T:0.000543361   ErrorDirecto_R: 9.07042e-08   END: 32   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:2.76971   ErrorVisual_R:0.00152031   ErrorDirecto_T:0.000524949   ErrorDirecto_R: 7.16774e-08   END: 29   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:2.37059   ErrorVisual_R:0.00366389   ErrorDirecto_T:0.000470542   ErrorDirecto_R: 4.76851e-08   END: 32   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:3.74389   ErrorVisual_R:0.00340649   ErrorDirecto_T:0.000359389   ErrorDirecto_R: 5.31774e-08   END: 29   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:4.05531   ErrorVisual_R:0.00134266   ErrorDirecto_T:0.000460585   ErrorDirecto_R: 4.82906e-08   END: 29   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:1.87963   ErrorVisual_R:0.00147075   ErrorDirecto_T:0.000930354   ErrorDirecto_R: 1.74723e-07   END: 33   WHY?: LOW_ERROR
P: (176 841 374 0 0 3.1416)   ErrorVisual_T:3.92948   ErrorVisual_R:0.00266808   ErrorDirecto_T:0.00100317   ErrorDirecto_R: 1.82316e-07   END: 28   WHY?: LOW_ERROR
P: (264 816 392 0 0 3.1416)   ErrorVisual_T:4.11383   ErrorVisual_R:0.00162387   ErrorDirecto_T:0.000246902   ErrorDirecto_R: 4.80445e-08   END: 29   WHY?: LOW_ERROR
P: (191 806 376 0 0 3.1416)   ErrorVisual_T:1.96514   ErrorVisual_R:0.0033228   ErrorDirecto_T:0.000166281   ErrorDirecto_R: 3.28008e-08   END: 33   WHY?: LOW_ERROR
P: (178 804 396 0 0 3.1416)   ErrorVisual_T:1.83873   ErrorVisual_R:0.00232818   ErrorDirecto_T:0.000161153   ErrorDirecto_R: 3.56113e-08   END: 33   WHY?: LOW_ERROR
P: (146 801 373 0 0 3.1416)   ErrorVisual_T:1.83671   ErrorVisual_R:0.00385428   ErrorDirecto_T:0.000180323   ErrorDirecto_R: 2.91683e-05   END: 31   WHY?: LOW_ERROR
P: (182 783 385 0 0 3.1416)   ErrorVisual_T:4.83955   ErrorVisual_R:0.00409627   ErrorDirecto_T:0.000111394   ErrorDirecto_R: 2.51171e-08   END: 29   WHY?: LOW_ERROR
P: (163 840 396 0 0 3.1416)   ErrorVisual_T:1.95105   ErrorVisual_R:0.00269583   ErrorDirecto_T:0.000607701   ErrorDirecto_R: 8.78345e-08   END: 31   WHY?: LOW_ERROR
P: (248 808 380 0 0 3.1416)   ErrorVisual_T:1.60172   ErrorVisual_R:0.00144768   ErrorDirecto_T:0.000118116   ErrorDirecto_R: 2.30914e-08   END: 29   WHY?: LOW_ERROR
P: (288 788 389 0 0 3.1416)   ErrorVisual_T:1.63038   ErrorVisual_R:0.0030916   ErrorDirecto_T:0.000117506   ErrorDirecto_R: 2.9665e-08   END: 33   WHY?: LOW_ERROR
P: (255 847 370 0 0 3.1416)   ErrorVisual_T:1.89581   ErrorVisual_R:0.000716344   ErrorDirecto_T:0.000737227   ErrorDirecto_R: 1.13537e-07   END: 33   WHY?: LOW_ERROR
P: (174 814 370 0 0 3.1416)   ErrorVisual_T:2.06359   ErrorVisual_R:0.0021264   ErrorDirecto_T:0.000376423   ErrorDirecto_R: 7.03167e-08   END: 31   WHY?: LOW_ERROR
P: (192 795 376 0 0 3.1416)   ErrorVisual_T:3.62745   ErrorVisual_R:0.00221423   ErrorDirecto_T:6.99706e-05   ErrorDirecto_R: 1.80179e-08   END: 29   WHY?: LOW_ERROR
P: (209 807 380 0 0 3.1416)   ErrorVisual_T:1.79302   ErrorVisual_R:0.00267307   ErrorDirecto_T:0.000151276   ErrorDirecto_R: 1.5519e-08   END: 33   WHY?: LOW_ERROR
P: (169 815 371 0 0 3.1416)   ErrorVisual_T:2.15561   ErrorVisual_R:0.00324067   ErrorDirecto_T:0.0003399   ErrorDirecto_R: 5.48234e-08   END: 27   WHY?: LOW_ERROR
P: (290 843 370 0 0 3.1416)   ErrorVisual_T:2.67582   ErrorVisual_R:0.00232123   ErrorDirecto_T:0.00131545   ErrorDirecto_R: 2.41124e-07   END: 29   WHY?: LOW_ERROR
P: (266 795 372 0 0 3.1416)   ErrorVisual_T:1.69824   ErrorVisual_R:0.00335651   ErrorDirecto_T:7.57068e-05   ErrorDirecto_R: 1.49726e-08   END: 33   WHY?: LOW_ERROR
P: (286 850 383 0 0 3.1416)   ErrorVisual_T:1.70788   ErrorVisual_R:0.00136399   ErrorDirecto_T:0.00137454   ErrorDirecto_R: 2.39575e-07   END: 28   WHY?: LOW_ERROR
P: (212 809 378 0 0 3.1416)   ErrorVisual_T:4.45088   ErrorVisual_R:0.00219641   ErrorDirecto_T:0.000130396   ErrorDirecto_R: 2.05095e-08   END: 29   WHY?: LOW_ERROR
P: (181 784 370 0 0 3.1416)   ErrorVisual_T:1.87181   ErrorVisual_R:0.00333761   ErrorDirecto_T:9.2235e-05   ErrorDirecto_R: 2.11044e-08   END: 33   WHY?: LOW_ERROR
P: (177 848 378 0 0 3.1416)   ErrorVisual_T:1.87572   ErrorVisual_R:0.00285742   ErrorDirecto_T:0.00118196   ErrorDirecto_R: 2.03776e-07   END: 29   WHY?: LOW_ERROR
P: (141 824 395 0 0 3.1416)   ErrorVisual_T:1.73241   ErrorVisual_R:0.0031692   ErrorDirecto_T:0.000213077   ErrorDirecto_R: 3.76195e-05   END: 31   WHY?: LOW_ERROR
P: (294 817 387 0 0 3.1416)   ErrorVisual_T:1.99448   ErrorVisual_R:0.0017154   ErrorDirecto_T:0.000504392   ErrorDirecto_R: 1.02753e-07   END: 29   WHY?: LOW_ERROR
