P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.00146802   ErrorVisual_R:2.29617e-06   ErrorDirecto_T:486.338   ErrorDirecto_R: 0.0830535   END: 17   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.00038147   ErrorVisual_R:0.000603058   ErrorDirecto_T:0.831855   ErrorDirecto_R: 3.02007e-05   END: 10   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:3.38792   ErrorVisual_R:0.00251466   ErrorDirecto_T:0.00078687   ErrorDirecto_R: 1.18084e-07   END: 24   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:3.45145   ErrorVisual_R:0.00165403   ErrorDirecto_T:0.0130245   ErrorDirecto_R: 1.32704e-06   END: 25   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:3.5159   ErrorVisual_R:0.00277711   ErrorDirecto_T:0.00040943   ErrorDirecto_R: 7.34021e-08   END: 21   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:3.64597   ErrorVisual_R:0.00398343   ErrorDirecto_T:0.000181905   ErrorDirecto_R: 2.24043e-08   END: 25   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:3.68924   ErrorVisual_R:0.0019224   ErrorDirecto_T:0.000119276   ErrorDirecto_R: 2.43857e-08   END: 25   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:3.6258   ErrorVisual_R:0.00184365   ErrorDirecto_T:0.0162971   ErrorDirecto_R: 7.56748e-06   END: 25   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:3.47508   ErrorVisual_R:0.00192474   ErrorDirecto_T:0.00025157   ErrorDirecto_R: 3.67297e-08   END: 25   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:3.39108   ErrorVisual_R:0.00146759   ErrorDirecto_T:0.000700567   ErrorDirecto_R: 1.29927e-07   END: 25   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:3.42182   ErrorVisual_R:0.00118502   ErrorDirecto_T:0.0152018   ErrorDirecto_R: 7.27062e-06   END: 25   WHY?: LOW_ERROR
