P: (209 807 380 0 0 3.1416)   ErrorVisual_T:2.4055   ErrorVisual_R:0.0045695   ErrorDirecto_T:0.00398559   ErrorDirecto_R: 1.33061e-06   END: 24   WHY?: LOW_ERROR
P: (169 815 371 0 0 3.1416)   ErrorVisual_T:2.29675   ErrorVisual_R:0.00281614   ErrorDirecto_T:0.00661395   ErrorDirecto_R: 2.57537e-06   END: 24   WHY?: LOW_ERROR
P: (290 843 370 0 0 3.1416)   ErrorVisual_T:1.83944   ErrorVisual_R:0.00106968   ErrorDirecto_T:0.000432201   ErrorDirecto_R: 1.18428e-07   END: 22   WHY?: LOW_ERROR
P: (266 795 372 0 0 3.1416)   ErrorVisual_T:1.9514   ErrorVisual_R:0.00244397   ErrorDirecto_T:0.000444986   ErrorDirecto_R: 4.40513e-08   END: 24   WHY?: LOW_ERROR
P: (286 850 383 0 0 3.1416)   ErrorVisual_T:1.84766   ErrorVisual_R:0.00089285   ErrorDirecto_T:0.000459989   ErrorDirecto_R: 1.18535e-07   END: 24   WHY?: LOW_ERROR
P: (212 809 378 0 0 3.1416)   ErrorVisual_T:2.39717   ErrorVisual_R:0.00156112   ErrorDirecto_T:0.00495633   ErrorDirecto_R: 1.76321e-06   END: 19   WHY?: LOW_ERROR
P: (181 784 370 0 0 3.1416)   ErrorVisual_T:2.20385   ErrorVisual_R:0.00152777   ErrorDirecto_T:0.00242802   ErrorDirecto_R: 6.59175e-07   END: 25   WHY?: LOW_ERROR
P: (177 848 378 0 0 3.1416)   ErrorVisual_T:2.32402   ErrorVisual_R:0.00202622   ErrorDirecto_T:0.000330518   ErrorDirecto_R: 1.62043e-08   END: 25   WHY?: LOW_ERROR
P: (141 824 395 0 0 3.1416)   ErrorVisual_T:2.15617   ErrorVisual_R:0.00213578   ErrorDirecto_T:0.0139634   ErrorDirecto_R: 6.12958e-06   END: 23   WHY?: LOW_ERROR
P: (294 817 387 0 0 3.1416)   ErrorVisual_T:2.13934   ErrorVisual_R:0.00147435   ErrorDirecto_T:0.000658995   ErrorDirecto_R: 6.03794e-08   END: 24   WHY?: LOW_ERROR
P: (179 801 382 0 0 3.1416)   ErrorVisual_T:2.27131   ErrorVisual_R:0.00183169   ErrorDirecto_T:0.00311387   ErrorDirecto_R: 1.01422e-06   END: 24   WHY?: LOW_ERROR
P: (293 830 374 0 0 3.1416)   ErrorVisual_T:1.82339   ErrorVisual_R:0.00179273   ErrorDirecto_T:0.000204884   ErrorDirecto_R: 7.72999e-08   END: 19   WHY?: LOW_ERROR
P: (146 818 397 0 0 3.1416)   ErrorVisual_T:1.97777   ErrorVisual_R:0.0021666   ErrorDirecto_T:0.0133162   ErrorDirecto_R: 4.9589e-06   END: 20   WHY?: LOW_ERROR
P: (143 784 386 0 0 3.1416)   ErrorVisual_T:1.77447   ErrorVisual_R:0.00232097   ErrorDirecto_T:0.000355191   ErrorDirecto_R: 3.68785e-08   END: 20   WHY?: LOW_ERROR
P: (167 820 380 0 0 3.1416)   ErrorVisual_T:2.26538   ErrorVisual_R:0.00218368   ErrorDirecto_T:0.00683285   ErrorDirecto_R: 2.91004e-06   END: 22   WHY?: LOW_ERROR
P: (220 829 370 0 0 3.1416)   ErrorVisual_T:2.06458   ErrorVisual_R:0.00311932   ErrorDirecto_T:0.0113175   ErrorDirecto_R: 6.86691e-06   END: 23   WHY?: LOW_ERROR
P: (237 830 398 0 0 3.1416)   ErrorVisual_T:2.22051   ErrorVisual_R:0.00166041   ErrorDirecto_T:0.0126899   ErrorDirecto_R: 7.74055e-06   END: 19   WHY?: LOW_ERROR
P: (144 829 381 0 0 3.1416)   ErrorVisual_T:1.96834   ErrorVisual_R:0.00411428   ErrorDirecto_T:0.0118017   ErrorDirecto_R: 8.41259e-06   END: 25   WHY?: LOW_ERROR
P: (238 846 395 0 0 3.1416)   ErrorVisual_T:2.08763   ErrorVisual_R:0.00103795   ErrorDirecto_T:0.000277058   ErrorDirecto_R: 3.26376e-08   END: 24   WHY?: LOW_ERROR
P: (159 789 390 0 0 3.1416)   ErrorVisual_T:3.21376   ErrorVisual_R:0.00180553   ErrorDirecto_T:0.00963603   ErrorDirecto_R: 2.25076e-06   END: 20   WHY?: LOW_ERROR
P: (200 792 378 0 0 3.1416)   ErrorVisual_T:2.09855   ErrorVisual_R:0.00218328   ErrorDirecto_T:0.00227531   ErrorDirecto_R: 5.01444e-07   END: 22   WHY?: LOW_ERROR
P: (241 839 382 0 0 3.1416)   ErrorVisual_T:2.01391   ErrorVisual_R:0.001573   ErrorDirecto_T:0.000242464   ErrorDirecto_R: 3.99229e-08   END: 24   WHY?: LOW_ERROR
P: (201 849 392 0 0 3.1416)   ErrorVisual_T:2.26798   ErrorVisual_R:0.0036436   ErrorDirecto_T:0.000341576   ErrorDirecto_R: 2.11733e-08   END: 24   WHY?: LOW_ERROR
P: (187 826 385 0 0 3.1416)   ErrorVisual_T:2.2874   ErrorVisual_R:0.00391589   ErrorDirecto_T:0.0081241   ErrorDirecto_R: 7.84863e-07   END: 24   WHY?: LOW_ERROR
P: (206 817 383 0 0 3.1416)   ErrorVisual_T:2.38852   ErrorVisual_R:0.00181715   ErrorDirecto_T:0.00523657   ErrorDirecto_R: 1.40652e-06   END: 22   WHY?: LOW_ERROR
P: (263 811 373 0 0 3.1416)   ErrorVisual_T:1.93685   ErrorVisual_R:0.00206342   ErrorDirecto_T:0.000260388   ErrorDirecto_R: 3.1002e-08   END: 24   WHY?: LOW_ERROR
P: (297 824 393 0 0 3.1416)   ErrorVisual_T:1.92891   ErrorVisual_R:0.00189933   ErrorDirecto_T:0.000619958   ErrorDirecto_R: 7.31475e-08   END: 25   WHY?: LOW_ERROR
P: (285 797 381 0 0 3.1416)   ErrorVisual_T:1.93999   ErrorVisual_R:0.00119578   ErrorDirecto_T:0.000819728   ErrorDirecto_R: 7.66545e-08   END: 19   WHY?: LOW_ERROR
P: (246 826 391 0 0 3.1416)   ErrorVisual_T:2.06156   ErrorVisual_R:0.000986619   ErrorDirecto_T:0.0163101   ErrorDirecto_R: 1.00497e-05   END: 24   WHY?: LOW_ERROR
P: (232 798 373 0 0 3.1416)   ErrorVisual_T:2.0425   ErrorVisual_R:0.00197798   ErrorDirecto_T:0.00998996   ErrorDirecto_R: 3.15181e-06   END: 24   WHY?: LOW_ERROR
P: (276 801 391 0 0 3.1416)   ErrorVisual_T:2.08341   ErrorVisual_R:0.00126124   ErrorDirecto_T:0.000737583   ErrorDirecto_R: 6.76278e-08   END: 24   WHY?: LOW_ERROR
P: (145 849 370 0 0 3.1416)   ErrorVisual_T:2.19928   ErrorVisual_R:0.00175599   ErrorDirecto_T:0.000374228   ErrorDirecto_R: 5.48728e-08   END: 23   WHY?: LOW_ERROR
P: (163 847 380 0 0 3.1416)   ErrorVisual_T:2.35762   ErrorVisual_R:0.00170092   ErrorDirecto_T:0.000337311   ErrorDirecto_R: 3.5956e-08   END: 25   WHY?: LOW_ERROR
P: (160 801 394 0 0 3.1416)   ErrorVisual_T:1.90598   ErrorVisual_R:0.00220366   ErrorDirecto_T:0.0086626   ErrorDirecto_R: 2.45403e-06   END: 20   WHY?: LOW_ERROR
P: (226 824 385 0 0 3.1416)   ErrorVisual_T:2.17364   ErrorVisual_R:0.00171577   ErrorDirecto_T:0.00907294   ErrorDirecto_R: 5.44278e-06   END: 24   WHY?: LOW_ERROR
P: (260 806 380 0 0 3.1416)   ErrorVisual_T:1.99586   ErrorVisual_R:0.0022829   ErrorDirecto_T:0.000352052   ErrorDirecto_R: 3.07325e-08   END: 19   WHY?: LOW_ERROR
P: (152 780 383 0 0 3.1416)   ErrorVisual_T:3.0604   ErrorVisual_R:0.00185127   ErrorDirecto_T:0.000336196   ErrorDirecto_R: 2.81281e-08   END: 20   WHY?: LOW_ERROR
P: (189 801 386 0 0 3.1416)   ErrorVisual_T:2.1209   ErrorVisual_R:0.00139151   ErrorDirecto_T:0.00215761   ErrorDirecto_R: 5.33421e-07   END: 24   WHY?: LOW_ERROR
P: (202 840 376 0 0 3.1416)   ErrorVisual_T:2.18745   ErrorVisual_R:0.00174255   ErrorDirecto_T:0.000274124   ErrorDirecto_R: 1.83543e-08   END: 24   WHY?: LOW_ERROR
P: (253 818 374 0 0 3.1416)   ErrorVisual_T:1.93394   ErrorVisual_R:0.002068   ErrorDirecto_T:8.9271e-05   ErrorDirecto_R: 2.38645e-08   END: 24   WHY?: LOW_ERROR
P: (282 808 392 0 0 3.1416)   ErrorVisual_T:2.08612   ErrorVisual_R:0.00258776   ErrorDirecto_T:0.000736282   ErrorDirecto_R: 6.13255e-08   END: 24   WHY?: LOW_ERROR
P: (140 784 395 0 0 3.1416)   ErrorVisual_T:2.18393   ErrorVisual_R:0.00292084   ErrorDirecto_T:0.000455812   ErrorDirecto_R: 3.83162e-08   END: 26   WHY?: LOW_ERROR
P: (150 797 381 0 0 3.1416)   ErrorVisual_T:2.185   ErrorVisual_R:0.0022604   ErrorDirecto_T:0.011432   ErrorDirecto_R: 3.07914e-06   END: 20   WHY?: LOW_ERROR
P: (184 825 395 0 0 3.1416)   ErrorVisual_T:2.16153   ErrorVisual_R:0.00294274   ErrorDirecto_T:0.0073617   ErrorDirecto_R: 1.04427e-06   END: 24   WHY?: LOW_ERROR
P: (140 837 371 0 0 3.1416)   ErrorVisual_T:2.23824   ErrorVisual_R:0.0022398   ErrorDirecto_T:0.000206514   ErrorDirecto_R: 4.12062e-08   END: 23   WHY?: LOW_ERROR
P: (176 787 380 0 0 3.1416)   ErrorVisual_T:2.1046   ErrorVisual_R:0.00199586   ErrorDirecto_T:0.00331804   ErrorDirecto_R: 8.88008e-07   END: 24   WHY?: LOW_ERROR
P: (179 817 383 0 0 3.1416)   ErrorVisual_T:2.21258   ErrorVisual_R:0.0032114   ErrorDirecto_T:0.00564909   ErrorDirecto_R: 1.31042e-06   END: 24   WHY?: LOW_ERROR
P: (142 827 395 0 0 3.1416)   ErrorVisual_T:2.00338   ErrorVisual_R:0.00234801   ErrorDirecto_T:0.00927792   ErrorDirecto_R: 5.70352e-06   END: 25   WHY?: LOW_ERROR
P: (295 830 387 0 0 3.1416)   ErrorVisual_T:1.90329   ErrorVisual_R:0.00110771   ErrorDirecto_T:0.000379122   ErrorDirecto_R: 5.3891e-08   END: 22   WHY?: LOW_ERROR
P: (207 839 383 0 0 3.1416)   ErrorVisual_T:2.13723   ErrorVisual_R:0.00332947   ErrorDirecto_T:0.000252879   ErrorDirecto_R: 1.8797e-08   END: 24   WHY?: LOW_ERROR
P: (290 782 399 0 0 3.1416)   ErrorVisual_T:2.27691   ErrorVisual_R:0.00293063   ErrorDirecto_T:0.00149094   ErrorDirecto_R: 1.09319e-07   END: 24   WHY?: LOW_ERROR
P: (267 818 378 0 0 3.1416)   ErrorVisual_T:1.92626   ErrorVisual_R:0.00144125   ErrorDirecto_T:0.000197059   ErrorDirecto_R: 3.2411e-08   END: 22   WHY?: LOW_ERROR
P: (298 827 372 0 0 3.1416)   ErrorVisual_T:2.05352   ErrorVisual_R:0.000818105   ErrorDirecto_T:0.000245322   ErrorDirecto_R: 7.75913e-08   END: 24   WHY?: LOW_ERROR
