P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.000775651   ErrorVisual_R:1.32698e-06   ErrorDirecto_T:506.378   ErrorDirecto_R: 0.0795106   END: 17   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.000441187   ErrorVisual_R:0.000703113   ErrorDirecto_T:0.00577446   ErrorDirecto_R: 8.63639e-07   END: 9   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:3.52859   ErrorVisual_R:0.00188486   ErrorDirecto_T:0.00059341   ErrorDirecto_R: 8.75895e-08   END: 24   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:2.91401   ErrorVisual_R:0.0024533   ErrorDirecto_T:0.0122549   ErrorDirecto_R: 3.08286e-06   END: 24   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:2.74658   ErrorVisual_R:0.00187485   ErrorDirecto_T:0.000291819   ErrorDirecto_R: 5.16191e-08   END: 24   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:2.66021   ErrorVisual_R:0.00311903   ErrorDirecto_T:0.000158091   ErrorDirecto_R: 9.54674e-09   END: 25   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:3.37474   ErrorVisual_R:0.00298546   ErrorDirecto_T:7.38269e-05   ErrorDirecto_R: 2.86056e-08   END: 20   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:3.32538   ErrorVisual_R:0.00217542   ErrorDirecto_T:0.00011379   ErrorDirecto_R: 2.5477e-08   END: 23   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:3.23898   ErrorVisual_R:0.00254746   ErrorDirecto_T:0.000226208   ErrorDirecto_R: 2.29764e-08   END: 24   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:2.39256   ErrorVisual_R:0.00214725   ErrorDirecto_T:0.000638532   ErrorDirecto_R: 1.14506e-07   END: 24   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:2.85013   ErrorVisual_R:0.00468879   ErrorDirecto_T:0.000184083   ErrorDirecto_R: 1.73623e-08   END: 20   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:3.19087   ErrorVisual_R:0.00255985   ErrorDirecto_T:0.000482935   ErrorDirecto_R: 6.87805e-08   END: 24   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:3.33821   ErrorVisual_R:0.00315868   ErrorDirecto_T:0.000518589   ErrorDirecto_R: 1.07087e-07   END: 24   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:2.89764   ErrorVisual_R:0.00201646   ErrorDirecto_T:0.00056421   ErrorDirecto_R: 7.18609e-08   END: 25   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:3.1994   ErrorVisual_R:0.00060208   ErrorDirecto_T:0.000417624   ErrorDirecto_R: 4.34945e-08   END: 24   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:2.96243   ErrorVisual_R:0.00305513   ErrorDirecto_T:0.000254365   ErrorDirecto_R: 2.7937e-08   END: 24   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:3.08912   ErrorVisual_R:0.00210915   ErrorDirecto_T:0.000424871   ErrorDirecto_R: 5.46988e-08   END: 24   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:2.9276   ErrorVisual_R:0.00138616   ErrorDirecto_T:0.00115942   ErrorDirecto_R: 2.06117e-07   END: 24   WHY?: LOW_ERROR
P: (176 841 374 0 0 3.1416)   ErrorVisual_T:3.71195   ErrorVisual_R:0.0033646   ErrorDirecto_T:0.000781441   ErrorDirecto_R: 1.23631e-07   END: 20   WHY?: LOW_ERROR
P: (264 816 392 0 0 3.1416)   ErrorVisual_T:3.13723   ErrorVisual_R:0.000584053   ErrorDirecto_T:0.000288851   ErrorDirecto_R: 4.75682e-08   END: 24   WHY?: LOW_ERROR
P: (191 806 376 0 0 3.1416)   ErrorVisual_T:3.27025   ErrorVisual_R:0.00296973   ErrorDirecto_T:0.000192754   ErrorDirecto_R: 1.72541e-08   END: 24   WHY?: LOW_ERROR
P: (178 804 396 0 0 3.1416)   ErrorVisual_T:3.08688   ErrorVisual_R:0.00310431   ErrorDirecto_T:0.000173904   ErrorDirecto_R: 3.26367e-08   END: 23   WHY?: LOW_ERROR
P: (146 801 373 0 0 3.1416)   ErrorVisual_T:3.31597   ErrorVisual_R:0.00317122   ErrorDirecto_T:6.19576e-05   ErrorDirecto_R: 9.07779e-06   END: 23   WHY?: LOW_ERROR
P: (182 783 385 0 0 3.1416)   ErrorVisual_T:3.16427   ErrorVisual_R:0.00227498   ErrorDirecto_T:0.0173399   ErrorDirecto_R: 6.29878e-06   END: 23   WHY?: LOW_ERROR
P: (163 840 396 0 0 3.1416)   ErrorVisual_T:3.44402   ErrorVisual_R:0.00276092   ErrorDirecto_T:0.000678165   ErrorDirecto_R: 9.92388e-08   END: 24   WHY?: LOW_ERROR
P: (248 808 380 0 0 3.1416)   ErrorVisual_T:2.7455   ErrorVisual_R:0.00427418   ErrorDirecto_T:8.20865e-05   ErrorDirecto_R: 1.62981e-08   END: 24   WHY?: LOW_ERROR
P: (288 788 389 0 0 3.1416)   ErrorVisual_T:3.31866   ErrorVisual_R:0.00119095   ErrorDirecto_T:0.000148998   ErrorDirecto_R: 3.26211e-08   END: 24   WHY?: LOW_ERROR
P: (255 847 370 0 0 3.1416)   ErrorVisual_T:3.20843   ErrorVisual_R:0.00144302   ErrorDirecto_T:0.000719101   ErrorDirecto_R: 1.28291e-07   END: 24   WHY?: LOW_ERROR
P: (174 814 370 0 0 3.1416)   ErrorVisual_T:3.31757   ErrorVisual_R:0.00207667   ErrorDirecto_T:0.00028283   ErrorDirecto_R: 6.15031e-08   END: 20   WHY?: LOW_ERROR
